,Ridge,Lasso,ElasticNet,RForest,kNN,Gradient Boosting
0,0.1702765960061857,0.2082462753421622,0.2418535507432045,0.2562248498302847,0.2203975936173065,0.3234284716532407
1,0.2807571189013556,0.3067380312254711,0.3316827746666218,0.334577118720512,0.2802158789485587,0.3436354183535978
2,0.4126458481630291,0.4563400873714276,0.4917860822992091,0.506186576106365,0.4694652208814903,0.5687077207610608
3,0.0045447877164634,0.0077136447160107,0.0077136447160107,0.0027682817584044,3.521751107370265e-05,0.0002257463701527
4,0.0587061189517657,0.0878232309679193,0.0878232309679193,0.0438667234356291,0.0051093974017087,0.0083443636701026
5,0.0674150407287829,0.0878273574463603,0.0878273574463603,0.0526144633955763,0.0059344343516212,0.0150248584070796
6,0.0049331620891939,0.0053505609868038,0.0039806956154879,0.0012614224954514,0.001497838771506,0.0018292553911256
7,0.0492814425162672,0.0689244956598738,0.0539071978558364,0.0305260466219653,0.0350743361295136,0.030859707708944
8,0.070236472642025,0.0731475289179602,0.0630927540648525,0.0355165101812019,0.0387019220647511,0.0427697953131139
9,0.0578177915002426,0.0582356041699208,0.0577736336751927,0.0085430613960301,0.0096533211999178,0.0378911899246743
10,0.1928941862245813,0.1945749967425973,0.1926612163401029,0.0743779323513943,0.0861368181666609,0.143273161458873
11,0.2404533041990537,0.241320542370352,0.2403614646219163,0.0924286827561129,0.0982513165302013,0.1946565948656103
12,0.0065140243476704,0.0032111836215183,0.0032111836215183,0.0245606063215939,0.0083829564034781,0.0336029439004682
13,0.0663581165981357,0.0481426783442755,0.0481426783442755,0.0954766071963443,0.0804356597499708,0.10043976686285
14,0.0807095059312743,0.056667306460766,0.056667306460766,0.1567182386373516,0.0915584862450126,0.1833110577692143
15,0.0421664145707887,0.0655724212427423,0.0466475937230085,0.083916704560493,0.0464445430630204,0.1653809790355639
16,0.1298154113161078,0.1592896443286046,0.1400068570327823,0.1883022349958712,0.1357508358782176,0.2697086782760343
17,0.2053446239149902,0.2560711253592297,0.2159805401488951,0.289683800997731,0.2155099604728757,0.4066706026203073
18,0.0346020718978031,0.0375151529924425,0.0375151529924425,0.0484038920978655,0.0415821294091222,0.1931679658968249
19,0.1259015050443001,0.1351945307211831,0.1351945307211831,0.1761614981742119,0.1077831949038492,0.3299327649910337
20,0.1860163215898086,0.193688288217028,0.193688288217028,0.2200088454991425,0.2039169669476334,0.4395087779519596
21,0.0147352177316498,0.0075638262234523,0.0075638262234523,0.0085383914149219,0.0106881335655876,0.0033174015144309
22,0.0814364446195968,0.0813387438952301,0.0813387438952301,0.0753184348108252,0.0614351022382975,0.0523003124127077
23,0.1213887051238699,0.0869702605690724,0.0869702605690724,0.0924034166842435,0.1033834298405099,0.0575968880620379
